MANPOWER POSITION UNDER NAMSAI DISTRICT ,,,,,
Sl.No ,Designation,Sanction strength ,In position ,On Study leave ,Gap/ exess 
1,Specialist,,8,,
2,GDMO,,8,3,
3,GDMO(H),,1,0,
4,SMO / SMO(H),,2,0,
5,MO (Homoeo),,2,0,
6,BDS,,2,0,
7,CPO,,2,0,
8,SNO,,3,0,
9,NO,,20,0,
10,NO (NHM),,12,0,
11,NO (NCD),,2,0,
12,ANM,,21,0,
13,ANM (NHM),,8,0,
14,ANM (OST),,3,0,
15,HWO,,3,0,
16,HWO (NHM),,10,0,
17,Pharmacist,,7,0,
18,Health Assistant ,,5,0,
19,Lab Technician,,5,0,
20,Lab Technician (NHM),,5,0,
21,MPW,,10,0,
22,RFW,,12,0,
23,SFW,,8,0,
24,DHV,,29,0,
25,MI,,4,0,
26,MSI,,3,0,
27,SI,,1,0,
28,NA,,8,0,
29,Peon,,6,0,
30,MTS,,2,0,
31,Driver,,2,0,
32,BAM,,3,0,
33,BDM,,3,0,
34,BCM,,3,0,
35,Radiographer,,4,0,
36,ECG Tech,,1,0,
37,Cook,,4,0,
38,Dhobi,,2,0,
39,Chowkidar,,2,0,
40,Bearer / Stretcher Bearer,,2,0,
41,SA,,6,0,
42,NC,,2,0,
43,FA,,4,0,
44,R/G,,1,0,
45,Oth. Assistant,,1,0,
46,Contigency,,1,0,
47,Misc. / DEO / Counsellor / Data Manager( Contractual) ,,12,0,
